Sala: 204 Predio: CAA Capacidade: 55 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 3,AAA Curso: Curso3 Predio: CAA Capacidade: 60 Periodo: 4,A Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 3,AAA Curso: Curso3 Predio: CAA Capacidade: 60 Periodo: 4,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 1,VAZIO, 
08:50-09:40,A Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 3,AAA Curso: Curso3 Predio: CAA Capacidade: 60 Periodo: 4,A Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 3,AAA Curso: Curso3 Predio: CAA Capacidade: 60 Periodo: 4,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 1,VAZIO, 
10:00-10:50,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 1,AAAA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 2,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 1,AAAA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 2,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 1,VAZIO, 
10:50-11:40,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 1,AAAA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 2,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 1,AAAA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 2,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 1,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,A Curso: Curso11 Predio: CAA Capacidade: 55 Periodo: 1,A Curso: Curso11 Predio: CAA Capacidade: 55 Periodo: 1,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,AAA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 6,VAZIO, 
14:50-15:40,A Curso: Curso11 Predio: CAA Capacidade: 55 Periodo: 1,A Curso: Curso11 Predio: CAA Capacidade: 55 Periodo: 1,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,AAA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 6,VAZIO, 
